date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:14	5232/5232	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%225f5fd425-247b%22	https://christophm.github.io/robots.txt		(from )
11:48:15	43825/43825	---M-Z	200	added ('OK')	text/html	etag:W/%22604fba47-ab31%22	https://christophm.github.io/interpretable-ml-book/	christophm.github.io/interpretable-ml-book/index.html	(from )
11:48:16	47876/47876	---M-Z	200	added ('OK')	text/html	etag:W/%22604fba47-bb04%22	https://christophm.github.io/interpretable-ml-book/preface-by-the-author.html	christophm.github.io/interpretable-ml-book/preface-by-the-author.html	(from https://christophm.github.io/interpretable-ml-book/)
11:48:17	38299/38299	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-959b%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/style.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/style.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:17	85659/85659	---M-Z	200	added ('OK')	application/javascript	etag:W/%22604fba47-14e9b%22	https://christophm.github.io/interpretable-ml-book/libs/jquery-2.2.3/jquery.min.js	christophm.github.io/interpretable-ml-book/libs/jquery-2.2.3/jquery.min.js	(from https://christophm.github.io/interpretable-ml-book/)
11:48:18	623/623	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-26f%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-table.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-table.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:19	2456/2456	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-998%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-bookdown.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-bookdown.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:20	30762/30762	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-782a%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-highlight.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-highlight.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:21	694/694	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-2b6%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-search.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-search.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:22	8612/8612	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-21a4%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-fontsettings.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-fontsettings.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:23	266/266	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-10a%22	https://christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-clipboard.css	christophm.github.io/interpretable-ml-book/libs/gitbook-2.6.7/css/plugin-clipboard.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:24	3938/3938	---M-Z	200	added ('OK')	text/css	etag:W/%22604fba47-f62%22	https://christophm.github.io/interpretable-ml-book/css/cookieconsent.min.css	christophm.github.io/interpretable-ml-book/css/cookieconsent.min.css	(from https://christophm.github.io/interpretable-ml-book/)
11:48:25	19802/19802	---M-Z	200	added ('OK')	application/javascript	etag:W/%22604fba47-4d5a%22	https://christophm.github.io/interpretable-ml-book/javascript/cookieconsent.min.js	christophm.github.io/interpretable-ml-book/javascript/cookieconsent.min.js	(from https://christophm.github.io/interpretable-ml-book/)
